bookkeeping,category,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,macroareas,markup_description,name,newick,pk
False,Spoken L1 Language,0,0,0,,288,1030,axb,abip1241,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q11252539"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Abip%C3%B3n_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/abip1241"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_abi"", ""label"": ""Abip\u00f3n""}], ""meds"": [[""63237"", ""long_grammar"", 1894, 367, ""Samuel A. Lafone Quevedo 1894""], [""26219"", ""phonology_or_text"", 1870, 6, ""Marietti, Petro 1870""], [""13948"", ""phonology_or_text"", 1787, 3, ""Lorenzo Hervas 1787""], [""475446"", ""wordlist_or_less"", 1784, 460, ""Martin Dobrizhoffer 1784""]]}",-29.0,language,-61.0,South America,,Abipon,'Abipon [abip1241][axb]-l-':1,2909
False,Spoken L1 Language,0,0,0,,,,ash,abis1238,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/3665"", ""label"": ""Tequiraca""}, {""url"": ""https://www.wikidata.org/entity/Q2871740"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Tequiraca_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/abis1238"", ""label"": null}], ""meds"": [[""61125"", ""phonology_or_text"", 2012, 10, ""Lev Michael and Christine Beier 2012""], [""34227"", ""wordlist_or_less"", 1930, 6, ""G\u00fcnter Tessmann 1930""], [""75998"", ""wordlist_or_less"", 1889, 329, ""Pierre, Fran\u00e7ois 1983 [1889]""], [""136205"", ""wordlist_or_less"", 1858, 0, ""Villavicencio, M. 1984 [1858]""], [""107414"", ""wordlist_or_less"", 1850, 0, ""Osculati, Gaetano 1850""]]}",-1.284096,language,-75.084405,South America,,Aewa,'Aewa [abis1238][ash]-l-':1,119
False,Spoken L1 Language,0,0,0,,310,6892,aca,acha1250,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://crubadan.org/languages/aca"", ""label"": null}, {""url"": ""http://endangeredlanguages.com/lang/641"", ""label"": ""Achagua""}, {""url"": ""https://en.wikipedia.org/wiki/Achawa_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/acha1250"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_acg"", ""label"": ""Achagua""}, {""url"": ""https://www.wikidata.org/entity/Q2822982"", ""label"": null}], ""meds"": [[""72465"", ""grammar"", 1998, 202, ""Mel\u00e9ndez Lozano, Miguel Angel 1998""], [""57500"", ""grammar"", 1992, 190, ""Peter J. Wilson 1992""], [""59252"", ""grammar"", 1929, 0, ""Alemany y Bolufer, Jos\u00e9 1929""], [""317871"", ""grammar_sketch"", 1762, 259, ""de Neira, Alonso and Ribero, Juan 1762""]]}",4.38649,language,-72.2005,South America,,Achagua,'Achagua [acha1250][aca]-l-':1,9529
False,Spoken L1 Language,0,0,0,,32,7741,guq,ache1246,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/1520"", ""label"": ""Ach\u00e9""}, {""url"": ""https://www.wikidata.org/entity/Q383701"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Ach%C3%A9_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/ache1246"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_ach"", ""label"": ""Ach\u00e9""}], ""meds"": [[""76487"", ""grammar_sketch"", 1934, 142, ""Jehan Vellard 1934, 1935""], [""110115"", ""grammar_sketch"", 1919, 22, ""F. C. Mayntzhusen 1919-1920""], [""106574"", ""wordlist_or_less"", 1902, 21, ""Paul Vogt 1902, 1903""], [""66383"", ""wordlist_or_less"", 1901, 5, ""Karl von den Steinen 1901""]]}",-25.5865,language,-56.4697,South America,,Aché,'Aché [ache1246][guq]-l-':1,10471
False,Spoken L1 Language,2,0,0,,193,831,acu,achu1248,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://crubadan.org/languages/acu"", ""label"": null}, {""url"": ""http://endangeredlanguages.com/lang/648"", ""label"": ""Achuar""}, {""url"": ""https://en.wikipedia.org/wiki/Shiwiar_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/achu1248"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_acu"", ""label"": ""Achuar""}, {""url"": ""https://www.wikidata.org/entity/Q2823170"", ""label"": null}], ""meds"": [[""580729"", ""long_grammar"", 2020, 422, ""Kohlberger, Martin 2020""], [""82060"", ""grammar"", 1981, 144, ""Fast, Gerhard and Fast, Ruby 1981""], [""131037"", ""phonology_or_text"", 1975, 51, ""Fast, Gerhard 1975""], [""34227"", ""wordlist_or_less"", 1930, 6, ""G\u00fcnter Tessmann 1930""]]}",-2.82646,language,-77.2641,South America,,Achuar-Shiwiar,"('Achuar [achu1249]':1,'Shiwiar [shiw1235]':1)'Achuar-Shiwiar [achu1248][acu]-l-':1",2507
False,Spoken L1 Language,0,0,0,,81,2163,acs,acro1239,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q2829146"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Acro%C3%A1_language"", ""label"": null}], ""meds"": [[""79048"", ""wordlist_or_less"", 1867, 3, ""von Martius, Carl Friedrich Philip 1867""]]}",-12.594,language,-40.21445,South America,,Acroá,'Acroá [acro1239][acs]-l-':1,3729
False,Unattested,0,0,0,,204,850,avo,agav1236,"{""iso_retirement"": null, ""ethnologue_comment"": {""isohid"": ""avo"", ""comment_type"": ""spurious"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23"", ""E24""], ""comment"": ""E16/E17/E18/E19/E20/E21/E22/E23/E24 has an entry for Agavotaguerra [avo]. But Agavotaguerra is not attested, and the only information available are reports by the Kuikuru, who say the Agavotaguerra speak the same language as the Yawalapiti [yaw] (**hh:ew:GalvaoSimoes:Txikao**:23, **hh:e:Villas:Tres-Xingu**, **hh:he:VillasBoas:Xingu**:45). See also: Yawalapit\u00ed [yaw].""}, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/3879"", ""label"": ""Agavotaguerra""}, {""url"": ""https://www.wikidata.org/entity/Q3508007"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Agavotaguerra_language"", ""label"": null}], ""meds"": [[""28506"", ""wordlist_or_less"", 1972, 135, ""Villas Boas, Orlando and Villas Boas, Claudio 1972""]]}",-13.29849,language,-53.43936,South America,,Agavotaguerra,'Agavotaguerra [agav1236][avo]-l-':1,2524
False,Unattested,0,0,0,,204,850,aga,agua1251,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q3331203"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Aguano_language"", ""label"": null}], ""meds"": [[""76353"", ""wordlist_or_less"", 1959, 42, ""Villarejo, Avencio 1959""], [""135495"", ""wordlist_or_less"", 1948, 5, ""Julian H. Steward and Alfred M\u00e9traux 1948""]]}",-5.25,language,-75.8333,South America,,Aguano,'Aguano [agua1251][aga]-l-':1,2523
False,Spoken L1 Language,0,0,0,,193,193,agr,agua1253,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://crubadan.org/languages/agr"", ""label"": null}, {""url"": ""http://endangeredlanguages.com/lang/1565"", ""label"": ""Aguaruna""}, {""url"": ""https://en.wikipedia.org/wiki/Aguaruna_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/agua1253"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_agr"", ""label"": ""Aguaruna""}, {""url"": ""https://www.wikidata.org/entity/Q1526530"", ""label"": null}], ""meds"": [[""551287"", ""long_grammar"", 2017, 662, ""Overall, Simon 2017""], [""85554"", ""long_grammar"", 2007, 610, ""Overall, Simon 2007""], [""21786"", ""long_grammar"", 1994, 395, ""Corbera Mori, Angel Humberto 1994""], [""302389"", ""grammar"", 1963, 0, ""na 1963""], [""18718"", ""phonology_or_text"", 1956, 0, ""Larson, Mildred Lucille 1956""], [""93598"", ""phonology_or_text"", 1947, 42, ""Winans, Rogelio S. 1947""], [""549314"", ""wordlist_or_less"", 1902, 14, ""von Hassel, Jorge M. 1902""]]}",-5.30044,language,-77.9218,South America,,Aguaruna,'Aguaruna [agua1253][agr]-l-':1,832
False,Spoken L1 Language,1,0,0,,,,tba,aika1237,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""http://endangeredlanguages.com/lang/669"", ""label"": ""Aikan\u00e3""}, {""url"": ""https://www.wikidata.org/entity/Q3409307"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Aikan%C3%A3_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/aika1237"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_aik"", ""label"": ""Aikan\u00e1""}], ""meds"": [[""152646"", ""grammar_sketch"", 2004, 78, ""Vasconcelos, Ione P. 2004""], [""109441"", ""grammar_sketch"", 1996, 20, ""Ione Vasconcelos 1996""], [""146313"", ""grammar_sketch"", 1993, 0, ""na 1993""], [""117048"", ""wordlist_or_less"", 1915, 68, ""Erland Nordenski\u00f6ld 1915""]]}",-12.6695,language,-60.5353,South America,,Aikanã,('Masaká [masa1312]':1)'Aikanã [aika1237][tba]-l-':1,218
