Date aprox;Date;Language;Language family;Region
0;0;Otuke;Macro-Jê;Mato Grosso, Santa Cruz
0;0;Menién;Macro-Jê;Bahia, Brazil
0;0;Acroá;Macro-Jê;Bahia, Brazil
0;0;Malalí;Macro-Jê;Minas Gerais, Brazil
0;0;Masakará;Macro-Jê;Bahia, Brazil
0;0;Kotoxó;Macro-Jê;Bahia, Brazil
0;0;Koropó;Macro-Jê;Minas Gerais, Brazil
0;0;Kamurú;Macro-Jê;Eastern Brazil
0;0;Sabujá;Macro-Jê;Bahia, Brazil
0;0;Mangaló;Macro-Jê;Bahia and Minas Gerais
0;0;Gueren;Macro-Jê;Minas Gerais, Brazil
0;0;Aravirá;Macro-Jê;Mato Grosso, Santa Cruz
0;0;Pawishiana;Cariban;South America
0;0;Arakajú;Cariban;South America
0;0;Tiverikoto;Cariban;South America
0;0;Wajumará;Cariban;South America
0;0;Boanarí;Cariban;South America
0;0;Purukotó;Cariban;South America
0;0;Paravilyana;Cariban;South America
0;0;Sapará;Cariban;South America
0;0;Juma;Cariban;South America
0;0;Apingi;Cariban;South America
0;0;Yarumá;Cariban;South America
0;0;Opón;Cariban;Colombia
0;0;Pimenteira;Cariban;South America
0;0;Palmela;Cariban;South America
0;0;Morique;Arawakan;Between the Ucayali River and Javari River
0;0;Aroã;Arawakan;Marajó
0;0;Pasé;Arawakan;Brazil
0;0;Yumana;Arawakan;Brazil
0;0;Wiriná;Arawakan;Brazil
0;0;Waraikú;Arawakan;Brazil
0;0;Shiriana;Arawakan;Brazil
0;0;Custenau;Arawakan;Mato Grosso, Brazil
0;0;Yabaâna;Arawakan;Brazil
0;0;Kariaí;Arawakan;Roraima, Brazil
0;0;Anauyá;Arawakan;Castaño Viejo River Amazonas, Venezuela
0;0;Jandiatuba Mayoruna;Panoan;Amazon basin, Brazil
0;0;Amazon Mayoruna;Panoan;Amazon basin, Brazil, Peru, and Colombia
1650;17th century;Gorgotoqui;Macro-Je;eastern Bolivia
1640;after 1640;Yaio;Cariban;Trinidad and French Guiana
1700;late 17th to early 18th century;Cacán;unclassified;"northern Argentina; Chile"
1700;ca. 18th century;Chané;Arawakan;Argentina
1750;18th century;Manao;Arawakan;Brazil
1770;after 1770;Tamanaku;Cariban languages;Venezuela
1790;ca. 1790s;Ramanos;Unclassified;Moxos Province, Bolivia
1800;ate 18th century;Maipure;Arawakan;Upper Orinoco region
1800;after the late 1790s;Chiriba;Panoan;Moxos Province, Bolivia
1800;after 1794;Magiana;Arawakan;Boliva
1800;19th century;Jaikó;Macro-Je;southeastern Piauí
1833;after 1833;Cararí;Arawakan;Mucuim River, Amazonas, Brazil
1832;after 1832;Charrúa language;Charruan languages;Entre Ríos Province and Uruguay
1832;after 1832;Guenoa language;Charruan languages;Entre Ríos Province and Uruguay
1832;after 1832;Aroaqui;Arawakan;Lower Rio Negro Brazil
1832;after 1832;Parawana;Arawakan;Lower Branco River Brazil
1831;after 1831;Mepuri;Arawakan;Amazonas, Brazil
1831;after 1831;Mainatari;Arawakan;Siapa River (Orinoco basin) Venezuela
1840;after or during 1840s;Bororo of Cabaçal;Macro-Je languages;Mato Grosso, Brazil
1851;after 1851;Wainumá-Mariaté;Arawakan;Amazonas, Colombia
1867;after 1867;Andoquero;Witotoan;Colombia
1864;1864;Xakriabá;Macro-Je;Minas Gerais state, Brazil
1862;1862;Caquetio;Arawakan;Aruba
1877;1877;Aruá;Arauan;Brazil
1900;late 19th century;Purí;Macro-Je;southeastern Brazil
1900;late 19th century;Coroado Purí;Macro-Je;southeastern Brazil
1900;early 20th century;Chaná;Charruan;Uruguay
1900;early 20th century;Marawán;Arawakan;Brazil
1900;early 20th century;Ingain;Macro-Je;Santa Catarina, Brazil
1900;early 20th century;Kamakã;Macro-Je;Bahia, Brazil
1920;ca. 1920;Mochica;Chimuan;northwest Peru
1949;after 1949;Kunza;unclassified;Atacama Desert, Chile/Peru
1950;after 1950;Hibito;Hibito–Cholon;Bobonaje River Valley
1950;mid-20th century;Kipea;Macro-Ge;Eastern Brazil
1950;mid-20th century;Dzubukua;Macro-Ge;Pernambuco, Brazil
1950;ca. 1950s;Pijao;unclassified;Colombia
1958;1958;Omurano;Zaparoan;Peru
1963;1963;Jorá;Tupi;Bolivia
1984;1984;Yavitero;Arawakan;Venezuela
1991;1991;Pánobo;Panoan;Peru
1993;1993;Andoa;Zaparoan;Peru
1990;late 1990s;Munichi;unclassified;Loreto Region, Peru
2000;ca. 2000;Cholón;Hibito–Cholon;Huallaga River Valley
2000;ca. 2000;Lapachu;Arawakan;Apolobamba
2000;by 2001;Amanayé;Tupian;Brazil
2003;2003;Umotína;Macro-Je;Mato Grosso, Brazil
2009;by 2009;Agavotaguerra;Arawakan;Brazil
2009;by 2009;Arikem;Tupian;Brazil
2009;by 2009;Karipúna;Tupian;Brazil
2009;by 2009;Pataxó Hã-Ha-Hãe;Macro-Je;Brazil
2011;10 April 2011;Apiaká;Tupian;Mato Grosso, Brazil
2013;By 2014;Demushbo;Panoan;Amazon Basin, Brazil
2015;November 25, 2016;Resígaro;Arawakan;Peru
2019;4 January 2019;Tehuelche;Chonan;Patagonia, Argentina
2021;2 February 2021;Juma;Kawahiva;Rondônia, Brazil
